year,importer1,importer2,flow1,flow2
2005,Action,Action,12860,12860
2005,Action,Adventure,46467,46467
2005,Action,Arcade,74937,74937
2005,Action,Board,2345,2345
2005,Action,Card,1551,1551
2005,Action,Casino,909,909
2005,Action,Dice,378,378
2005,Action,Educational,3303,3303
2005,Action,Family,9053,9053
2005,Action,Music Games,1924,1924
2005,Action,Puzzle,13978,13978
2005,Action,Racing,8322,8322
2005,Action,Role Playing,9876,9876
2005,Action,Simulation,8962,8962
2005,Action,Sports Games,6855,6855
2005,Action,Strategy,10210,10210
2005,Action,Trivia,3198,3198
2005,Action,Word,425,425
2005,Adventure,Action,46467,46467
2005,Adventure,Adventure,5752,5752
2005,Adventure,Arcade,24361,24361
2005,Adventure,Board,1268,1268
2005,Adventure,Card,732,732
2005,Adventure,Casino,455,455
2005,Adventure,Dice,260,260
2005,Adventure,Educational,1959,1959
2005,Adventure,Family,8192,8192
2005,Adventure,Music Games,879,879
2005,Adventure,Puzzle,18161,18161
2005,Adventure,Racing,4791,4791
2005,Adventure,Role Playing,11257,11257
2005,Adventure,Simulation,7364,7364
2005,Adventure,Sports Games,1699,1699
2005,Adventure,Strategy,7056,7056
2005,Adventure,Trivia,1540,1540
2005,Adventure,Word,408,408
2005,Arcade,Action,74937,74937
2005,Arcade,Adventure,24361,24361
2005,Arcade,Arcade,18086,18086
2005,Arcade,Board,4966,4966
2005,Arcade,Card,875,875
2005,Arcade,Casino,3659,3659
2005,Arcade,Dice,551,551
2005,Arcade,Educational,2798,2798
2005,Arcade,Family,16262,16262
2005,Arcade,Music Games,2788,2788
2005,Arcade,Puzzle,27686,27686
2005,Arcade,Racing,7616,7616
2005,Arcade,Role Playing,2247,2247
2005,Arcade,Simulation,6549,6549
2005,Arcade,Sports Games,6567,6567
2005,Arcade,Strategy,8078,8078
2005,Arcade,Trivia,2365,2365
2005,Arcade,Word,534,534
2005,Board,Action,2345,2345
2005,Board,Adventure,1268,1268
2005,Board,Arcade,4966,4966
2005,Board,Board,3739,3739
2005,Board,Card,5630,5630
2005,Board,Casino,5132,5132
2005,Board,Dice,2471,2471
2005,Board,Educational,3039,3039
2005,Board,Family,5363,5363
2005,Board,Music Games,550,550
2005,Board,Puzzle,26721,26721
2005,Board,Racing,323,323
2005,Board,Role Playing,762,762
2005,Board,Simulation,1153,1153
2005,Board,Sports Games,999,999
2005,Board,Strategy,7099,7099
2005,Board,Trivia,2411,2411
2005,Board,Word,2148,2148
2005,Card,Action,1551,1551
2005,Card,Adventure,732,732
2005,Card,Arcade,875,875
2005,Card,Board,5630,5630
2005,Card,Card,4840,4840
2005,Card,Casino,26686,26686
2005,Card,Dice,1954,1954
2005,Card,Educational,1486,1486
2005,Card,Family,2179,2179
2005,Card,Music Games,258,258
2005,Card,Puzzle,4650,4650
2005,Card,Racing,173,173
2005,Card,Role Playing,2255,2255
2005,Card,Simulation,704,704
2005,Card,Sports Games,594,594
2005,Card,Strategy,3144,3144
2005,Card,Trivia,829,829
2005,Card,Word,443,443
2005,Casino,Action,909,909
